RaceDate,SourceFile,Track,Race,Horse,PP,FormString,LayoffFlag
2025-11-22,HarnessSuite_2_6_FULL.csv,HAW,6,Gershwin,3,385-8X58X56X76,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HAW,6,Jewel'S Lady,4,72X575X55,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HAW,7,Tankmetodennyland,3,5-332123?-34,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HAW,7,Valottalove,7,2-41-1-13X86-6?,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HOP,1,Kobe'S Gigi,3,54X27542-24,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HOP,1,Rollin Rosie,5,22-1221X11-15,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HOP,2,Timon As,4,9623-3-77-5-17,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HOP,3,Superfecta Hanover,1,665-617433-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HOP,3,Love Me Hill,2,238342349-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HOP,3,I'M Fancy Like,7,76-14462X6-37,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HOP,3,Nebble Hanover,8,63196-677-1-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HOP,4,Galleys Image,1,7-471485-11-5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HOP,4,Selina'S Choice,3,4365X23254-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HOP,5,One Lucky Dude,1,437337-879X5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HOP,5,Allegheny Hanover,6,79382568X36,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HOP,6,M-M'S Dream,4,4-41X2-1122-51,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HOP,7,Aunt Fannie,1,104343421-95,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HOP,7,Always A Fireball,3,66810-8-81-43,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HOP,7,M M'S Eddie,8,5X127-6312-13,3UP
